,Name,N Bedrooms,N Bathrooms,Price (eur)
0,Poema villa,2,2,263-351
1,Koudesoley villa,5,4,900-1400
2,Cambresi villa,5,5,1315
3,Matahari villa,4,4,1025
4,Cambier Villa,5,6,875
5,Rubis villa,7,7,1375
6,Saphir villa,6,6,1375
7,Arty villa,4,4,1351
8,Coralia Villa,3,3,400-700
9,Las Brisas villa,2,2,800-1000
10,Manta Cove villas,3,3,450-660
11,Anthurium Villa,5,5,440-740
12,Porcelaine Villa,5,5,538-1050
13,Pergola Villa,3,3,250-425
14,Turquoise Villa,3,3,500-725
15,Le Campement villa,3,3,350-500
16,Pivoine Villa,4,4,1000-1875
17,Koki Bonheur Villa,4,4,900
18,Bois Chandelle Villa,4,4,480-815
19,L’îlot Villa,4,3,990-1500
20,Ocean villa,6,4,1500
21,Heritage Villas Valriche,4,3,
22,Nenuphar Villa,5,5,667-1045
23,Amarante villa,4,3,588-713
24,Etoile de Mer villa,3,3,250-440
25,Entre Sel et Mer Villa,4,3,440-580
26,Crecerelle Villa,4,3,313-425
27,Papaya villa,5,4,313-625
28,Samya Villa,6,3,450-850
29,Peace Haven Villa,5,3,500-750
30,Lagoon Villa,6,3,295-555
31,Teresa Villa,3,3,363-390
32,Coin de Mire villa,2,2,188-220
33,Limon villa,4,4,350-645
34,Amalia Villa,4,4,263-380
35,Hibiscus villa 1,2,2,219-275
36,Hibiscus villa 2,3,2,219-250
37,Le Morne Villa,5,5,395-735
38,Four a Chaux villa,4,4,460-575
39,Gecko Blue Villa,4,4,335-615
40,Veloutier villa,3,4,240-350
41,Gingembre Villa,3,2,250-430
42,Dune 1 Villa,3,2,219-313
43,Dune 2 Villa,3,3,275-390
44,Banian Villa,3,3,256-363
45,Bengali 1 Villa,4,4,250-450
46,Anse Fauverelle villa,5,5,695-820
47,Casita 1 Villa,2,2,338-475
48,Casita 2 Villa,2,2,338-475
49,Paradis Villa,4,4,350
50,Neptune Villa,4,3,280-530
51,Coquille Villa,4,3,300-425
52,Palmier Villa,4,3,456-500
53,Cocotier villa,4,2,390-480
54,Badamier Villa,4,2,350-465
55,Frangipane Villa,3,3,270-350
56,Safran Villa,4,5,313-365
57,Iris Villa,5,4,625-1100
58,Mont Choisy Living Penthouse,3,3,400-600
59,Erok apartment 2,3,3,600-800
60,Pointe d Azur 1 apartment,3,3,400-600
61,Pointe d Azur Apartment 2,3,3,450-650
62,Manta Cove Penthouse,4,4,605-795
63,Ocean Apartment,3,2,160-445
64,Tots apartment,3,3,425
65,Cape Point Seafront Penthouse,4,3,240-440
66,Cape Point Seafront Suites,3,3,240-340
67,Myra Seafront Suites,3,3,260-340
68,Erok Apartment,3,3,500-625
69,Vista O Biches Apartment,3,3,460-650
70,Open Sky Penthouse,2,2,350-463
71,Colibri Penthouse,2,2,365-495
72,Esplanade Apartments,3,2,330-690
73,Ivoire Penthouse,3,2,375-450
74,Camelia apartment,3,3,290-405
75,Cerisier Apartment,3,3,375-506
76,Paradise Beach Apartments,4,3,435-700
77,Summer Breeze apartment,3,3,288-396
78,Blue Nest Penthouse,3,3,435-700
79,Blue Nest GF apartment,3,3,310-490
80,Blue Nest Premium apartment,3,3,310-490
81,Clos du Littoral,4,4,310-632
82,Marguery Prestige villas,4,4,595-940
83,Marguery villas,3,3,305-740
84,Mythic Villa,3,3,459-596
85,Mythic Penthouse,3,3,435-565
86,Mythic Junior Suite,3,3,165-321
87,Oasis Villas,3,3,260-514
88,Domaine des Alizees apartments,3,2,126-315
89,Ama Villa,2,1,185-235
90,Case Créole villa,4,3,142-231
91,Ti Lacaze Villa,2,2,175-265
92,Marine Villa,3,2,248-309
93,Tec-Tec Apartment,2,2,110
94,Curry Villa,3,2,250-300
95,Banian Villa 2,2,2,169-219
96,Acajou Villa,3,3,250-350
97,Corail Villa,1,1,163-215
98,Mandarine Villa,3,2,275-312
99,Mapou Villa,3,3,250-340
100,Piedanlo Villa,4,2,260-320
101,Lavangere Villa,4,3,180-220
102,Le Coeur Volant Villa,3,2,180-250
103,Seychelles Villa,5,5,5917-9056
