,Name,Address,N Bedrooms,N Bathrooms,Price (eur)
0,Villa Kavanga,Mauritius North - Roches Noires,4,4,386 € - 1 121 €
1,Villa Metiss,Mauritius West - Black River,3,3,260 € - 540 €
2,Villa Dunes I,Mauritius East - Poste Lafayette,3,2,206 € - 531 €
3,Villa La Rafale,Mauritius North - Roches Noires,3,2,163 € - 470 €
4,Villa Heaven,Mauritius East - Belle Mare,3,3,500 € - 1 000 €
5,Villa Courte Paille,Mauritius North - Calodyne,2,2,129 € - 176 €
6,Villa Le Cabanon,Mauritius North - Roches Noires,1,1,175 € - 310 €
7,Villa Badamier,Mauritius East - Belle Mare,5,5,800 € - 1 750 €
8,Villa Dunes II,Mauritius East - Poste Lafayette,3,3,275 € - 615 €
9,Villa L'Ilot,Mauritius North - Roches Noires,4,3,990 € - 4 275 €
10,Villa Turquoise,Mauritius West - Black River,6,4,375 € - 2 062 €
11,Villa Jade,Mauritius North - Grand Baie,3,3,225 € - 625 €
12,Villa Nautilus 1,Mauritius North - Roches Noires,3,2,180 € - 600 €
13,Villa Nautilus 3,Mauritius North - Roches Noires,3,2,211 € - 605 €
14,Villa Fleur de Sel,Mauritius East - Trou d'Eau Douce,5,4,640 € - 960 €
15,Villa Beryl,Mauritius North - Trou aux Biches,2,2,287 € - 718 €
16,Villa Lisandra,Mauritius East - Poste Lafayette,5,3,655 € - 940 €
17,Villa Tiara,Mauritius East - Flacq,5,5,1 061 € - 2 436 €
18,Villa Tourmaline,Mauritius East - Trou d'Eau Douce,6,4,1 000 € - 2 750 €
19,Villa Opale,Mauritius North - Trou aux Biches,3,3,525 € - 1 218 €
20,Villa Amaiti,Mauritius East - Poste Lafayette,4,4,270 € - 975 €
21,Villa Teresa,Mauritius North - Roches Noires,3,3,362 € - 750 €
22,Villa Etoile de Mer,Mauritius North - Roches Noires,5,5,312 € - 1 250 €
23,Villa Flamboyant,Mauritius East - Belle Mare,3,3,535 € - 1 200 €
24,Villa Anse Fauverelle,Mauritius South East - Mahébourg,5,5,540 € - 1 515 €
25,Villa Cambresi,Mauritius East - Trou d'Eau Douce,5,5,1 250 € - 4 500 €
26,Villa Thalie,Mauritius South West - Bel Ombre,7,5,700 € - 2 937 €
27,Villa Anahita Solaia Sun,Mauritius East - Anahita,5,5,907 € - 2 900 €
28,Villa Saphir,Mauritius East - Belle Mare,6,6,1 375 € - 4 700 €
29,Villa Porcelaine 2,Mauritius North - Roches Noires,3,2,241 € - 579 €
30,Villa Océane,Mauritius East - Trou d'Eau Douce,3,3,400 € - 606 €
31,Villa Tamalia,Mauritius West - Tamarina Golf Estate,4,4,1 375 € - 1 937 €
